date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:49:57	8928/8928	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Apr%202021%2017:19:56%20GMT	https://appr.tc/r/048316409	C:/My%20Web%20Sites/inter/appr.tc/r/048316409.html	(from )
22:49:57	287/287	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Apr%202021%2017:19:56%20GMT	https://appr.tc/robots.txt		(from )
22:49:58	31806/31806	---M--	200	added ('OK')	image/png	etag:%22v0mP_g%22	https://appr.tc/images/webrtc-icon-192x192.png	C:/My%20Web%20Sites/inter/appr.tc/images/webrtc-icon-192x192.png	(from https://appr.tc/r/048316409)
22:49:58	6551/6551	---MC-	200	added ('OK')	text/css	etag:%22v0mP_g%22	https://appr.tc/css/main.css	C:/My%20Web%20Sites/inter/appr.tc/css/main.css	(from https://appr.tc/r/048316409)
22:49:59	199443/199443	---M-Z	200	added ('OK')	application/javascript	etag:%22v0mP_g%22	https://appr.tc/js/adapter.js	C:/My%20Web%20Sites/inter/appr.tc/js/adapter.js	(from https://appr.tc/r/048316409)
22:49:59	6500/6500	---MC-	200	added ('OK')	application/javascript	etag:%22v0mP_g%22	https://appr.tc/js/util.js	C:/My%20Web%20Sites/inter/appr.tc/js/util.js	(from https://appr.tc/r/048316409)
22:50:00	15274/15274	---MC-	200	added ('OK')	application/javascript	etag:%22v0mP_g%22	https://appr.tc/js/sdputils.js	C:/My%20Web%20Sites/inter/appr.tc/js/sdputils.js	(from https://appr.tc/r/048316409)
22:50:00	2246/2246	---M-Z	200	added ('OK')	application/javascript	etag:%22v0mP_g%22	https://appr.tc/js/analytics.js	C:/My%20Web%20Sites/inter/appr.tc/js/analytics.js	(from https://appr.tc/r/048316409)
22:50:01	19144/19144	---MC-	200	added ('OK')	application/javascript	etag:%22v0mP_g%22	https://appr.tc/js/appcontroller.js	C:/My%20Web%20Sites/inter/appr.tc/js/appcontroller.js	(from https://appr.tc/r/048316409)
22:50:02	17197/17197	---M-Z	200	added ('OK')	application/javascript	etag:%22v0mP_g%22	https://appr.tc/js/call.js	C:/My%20Web%20Sites/inter/appr.tc/js/call.js	(from https://appr.tc/r/048316409)
22:50:02	1428/1428	---MC-	200	added ('OK')	application/javascript	etag:%22v0mP_g%22	https://appr.tc/js/constants.js	C:/My%20Web%20Sites/inter/appr.tc/js/constants.js	(from https://appr.tc/r/048316409)
22:50:03	14348/14348	---M-Z	200	added ('OK')	application/javascript	etag:%22v0mP_g%22	https://appr.tc/js/infobox.js	C:/My%20Web%20Sites/inter/appr.tc/js/infobox.js	(from https://appr.tc/r/048316409)
22:50:03	12962/12962	---M-Z	200	added ('OK')	application/javascript	etag:%22v0mP_g%22	https://appr.tc/js/peerconnectionclient.js	C:/My%20Web%20Sites/inter/appr.tc/js/peerconnectionclient.js	(from https://appr.tc/r/048316409)
22:50:04	6764/6764	---MC-	200	added ('OK')	application/javascript	etag:%22v0mP_g%22	https://appr.tc/js/roomselection.js	C:/My%20Web%20Sites/inter/appr.tc/js/roomselection.js	(from https://appr.tc/r/048316409)
22:50:04	4375/4375	---MC-	200	added ('OK')	application/javascript	etag:%22v0mP_g%22	https://appr.tc/js/signalingchannel.js	C:/My%20Web%20Sites/inter/appr.tc/js/signalingchannel.js	(from https://appr.tc/r/048316409)
22:50:05	14032/14032	---M-Z	200	added ('OK')	application/javascript	etag:%22v0mP_g%22	https://appr.tc/js/stats.js	C:/My%20Web%20Sites/inter/appr.tc/js/stats.js	(from https://appr.tc/r/048316409)
22:50:05	908/908	---M-Z	200	added ('OK')	application/javascript	etag:%22v0mP_g%22	https://appr.tc/js/storage.js	C:/My%20Web%20Sites/inter/appr.tc/js/storage.js	(from https://appr.tc/r/048316409)
22:50:07	48759/48759	---MC-	200	added ('OK')	text/javascript	date:Fri,%2019%20Mar%202021%2019:22:18%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/inter/www.google-analytics.com/analytics.js	(from https://appr.tc/r/048316409)
